1/7/2019 9:36:36 AM> #0: 24.10; #1: 22.00; #2: 20.90; #3: 20.60; #4: 28.60; #5: 20.50; #6: 19.90; #7: 21.60; #8: 24.90; #9: 22.00; H0: 1.00; H1: 13.70; P: 100438.00 Pa; P1: NaN mbar; P2: NaN mbar; 
1/7/2019 9:36:46 AM> #0: 24.10; #1: 22.00; #2: 20.90; #3: 20.60; #4: 28.60; #5: 20.50; #6: 19.90; #7: 21.60; #8: 24.90; #9: 22.00; H0: 1.00; H1: 13.60; P: 100435.00 Pa; P1: NaN mbar; P2: NaN mbar; 
1/7/2019 9:36:56 AM> #0: 24.10; #1: 22.00; #2: 20.90; #3: 20.60; #4: 28.60; #5: 20.50; #6: 19.90; #7: 21.60; #8: 24.90; #9: 22.00; H0: 1.00; H1: 13.60; P: 100429.00 Pa; P1: NaN mbar; P2: NaN mbar; 
1/7/2019 9:37:06 AM> #0: 24.10; #1: 22.00; #2: 20.90; #3: 20.60; #4: 28.60; #5: 20.50; #6: 19.90; #7: 21.60; #8: 24.90; #9: 22.00; H0: 1.00; H1: 13.60; P: 100434.00 Pa; P1: NaN mbar; P2: NaN mbar; 
1/7/2019 9:37:16 AM> #0: 24.10; #1: 22.00; #2: 20.90; #3: 20.60; #4: 28.60; #5: 20.50; #6: 19.90; #7: 21.60; #8: 24.90; #9: 22.00; H0: 1.00; H1: 13.60; P: 100440.00 Pa; P1: NaN mbar; P2: NaN mbar; 
1/7/2019 9:37:26 AM> #0: 24.10; #1: 22.00; #2: 20.90; #3: 20.60; #4: 28.60; #5: 20.50; #6: 19.90; #7: 21.60; #8: 24.90; #9: 22.00; H0: 1.00; H1: 13.60; P: 100434.00 Pa; P1: NaN mbar; P2: NaN mbar; 
1/7/2019 9:37:36 AM> #0: 24.10; #1: 22.00; #2: 20.90; #3: 20.60; #4: 28.50; #5: 20.50; #6: 19.90; #7: 21.60; #8: 24.90; #9: 22.00; H0: 1.00; H1: 13.60; P: 100439.00 Pa; P1: NaN mbar; P2: NaN mbar; 
1/7/2019 9:37:46 AM> #0: 24.10; #1: 22.00; #2: 20.90; #3: 20.60; #4: 28.50; #5: 20.50; #6: 19.90; #7: 21.60; #8: 24.90; #9: 22.00; H0: 1.00; H1: 13.60; P: 100434.00 Pa; P1: NaN mbar; P2: NaN mbar; 
1/7/2019 9:37:56 AM> #0: 24.10; #1: 22.00; #2: 20.90; #3: 20.60; #4: 28.50; #5: 20.50; #6: 19.90; #7: 21.60; #8: 24.90; #9: 22.00; H0: 1.00; H1: 13.60; P: 100433.00 Pa; P1: NaN mbar; P2: NaN mbar; 
1/7/2019 9:47:56 AM> #0: 24.00; #1: 22.00; #2: 21.10; #3: 20.50; #4: 28.50; #5: 20.50; #6: 19.90; #7: 21.60; #8: 24.80; #9: 22.10; H0: 1.00; H1: 13.60; P: 100433.00 Pa; P1: NaN mbar; P2: NaN mbar; 
1/7/2019 9:57:56 AM> #0: 23.90; #1: 21.90; #2: 21.10; #3: 20.30; #4: 28.50; #5: 20.40; #6: 19.80; #7: 21.60; #8: 24.60; #9: 22.00; H0: 1.00; H1: 13.30; P: 100418.00 Pa; P1: NaN mbar; P2: NaN mbar; 
1/7/2019 10:07:56 AM> #0: 23.90; #1: 22.00; #2: 21.10; #3: 20.30; #4: 28.60; #5: 20.40; #6: 19.80; #7: 21.60; #8: 24.70; #9: 22.10; H0: 1.00; H1: 13.10; P: 100408.00 Pa; P1: NaN mbar; P2: NaN mbar; 
1/7/2019 10:17:56 AM> #0: 23.90; #1: 22.00; #2: 21.20; #3: 20.40; #4: 28.60; #5: 20.50; #6: 19.90; #7: 21.60; #8: 24.90; #9: 22.00; H0: 1.00; H1: 13.60; P: 100409.00 Pa; P1: NaN mbar; P2: NaN mbar; 
1/7/2019 10:27:56 AM> #0: 23.90; #1: 22.00; #2: 21.10; #3: 20.40; #4: 28.70; #5: 20.40; #6: 19.90; #7: 21.60; #8: 24.70; #9: 22.10; H0: 1.00; H1: 13.20; P: 100389.00 Pa; P1: NaN mbar; P2: NaN mbar; 
1/7/2019 10:37:56 AM> #0: 23.90; #1: 22.10; #2: 21.10; #3: 20.30; #4: 28.70; #5: 20.40; #6: 19.90; #7: 21.60; #8: 24.60; #9: 22.10; H0: 1.00; H1: 13.00; P: 100401.00 Pa; P1: NaN mbar; P2: NaN mbar; 
1/7/2019 10:47:57 AM> #0: 24.00; #1: 22.00; #2: 20.90; #3: 20.40; #4: 28.70; #5: 20.70; #6: 19.90; #7: 21.60; #8: 24.60; #9: 22.40; H0: 1.00; H1: 13.20; P: 100395.00 Pa; P1: NaN mbar; P2: NaN mbar; 
1/7/2019 10:57:57 AM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 11:07:57 AM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 11:18:02 AM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 11:28:07 AM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 11:38:12 AM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 11:48:17 AM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 11:58:22 AM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 12:08:27 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 12:18:32 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 12:28:37 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 12:38:42 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 12:48:47 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 12:58:52 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 1:08:57 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 1:19:02 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
